Subject,Group,Age,Gender,StandardProblem,CBType,StandardAcc,StandardResp,ControlAcc,ControlResp,StandardRT,ControlRT,StandardConfidence,ControlConfidence,StandardOpinion,ControlOpinion,StandardRecall,ControlRecall,StandardMC,ControlMC,LogStandardRT,LogControlRT,LogRTdiff,Confdiff,Opindiff
339,MTurk1,22,Female,BM,1b,0,0.9,1,0.1,11.449,18.435,0.8,0.05,0.9,0.12,0,0,1,1,1.095134467,1.288584545,-0.193450078,0.75,0.78
340,MTurk1,40,Female,BM,2a,0,0.9,1,0.1,11.236,8.222,0.8,0.8,0.6,0.6,1,1,1,1,1.087639468,0.964825118,0.12281435,0,0
341,MTurk1,30,Female,BM,2a,1,0.45,1,0.1,32.302,20.457,1,1,0.2,0.99,1,0,1,0,1.522470316,1.331569001,0.190901315,0,-0.79
342,MTurk1,20,Male,BM,2a,0,0.9,1,0.1,11.456,3.756,1,1,0.75,0.75,1,1,1,1,1.0953786,0.677241846,0.418136754,0,0
343,MTurk1,33,Female,BM,1b,1,0.45,1,0.1,19.995,20.899,1,1,0.6,0.8,1,0,1,0,1.322115879,1.340424284,-0.018308405,0,-0.2
344,MTurk1,29,Female,PE,2b,0,0.1,1,0.9,10.237,47.603,1,1,0.8,0.85,1,0,1,0,1.050650381,1.686663077,-0.636012696,0,-0.05
345,MTurk1,21,Male,BM,2a,0,0.9,1,0.1,39.693,14.883,1,1,0.7,0.7,1,1,1,1,1.609519708,1.200932536,0.408587173,0,0
346,MTurk1,22,Male,PE,2b,1,0.05,1,0.9,10.488,6.643,1,1,0.9,0.9,1,0,1,0,1.060244427,0.88326386,0.176980567,0,0
347,MTurk1,22,Male,PE,2b,0,0.1,1,0.9,19.615,13.247,0.99,1,0.99,0.99,0,0,0,0,1.314183339,1.153723424,0.160459915,-0.01,0
348,MTurk1,49,Male,BM,2a,0,0.9,1,0.1,95.209,5.231,0.9,1,0.8,0.95,1,1,1,1,1.983215701,0.794557751,1.188657949,-0.1,-0.15
349,MTurk1,27,Female,PE,1b,0,0.1,1,0.9,36.945,7.008,0.25,0.8,0.65,0.65,0,0,1,1,1.579154557,0.903524064,0.675630493,-0.55,0
350,MTurk1,19,Male,PE,2b,1,0.05,1,0.9,25.629,10.524,1,1,0.75,1,1,0,1,0,1.425354858,1.06160325,0.363751608,0,-0.25
351,MTurk1,22,Male,BM,2a,0,0.9,1,0.1,62.376,29.799,0,0.8,0.4,0.25,0,0,0,0,1.801924825,1.488536616,0.313388209,-0.8,0.15
352,MTurk1,29,Male,BM,1b,0,0.9,1,0.1,6.644,7.631,1,0,0.9,0.75,0,0,0,0,0.883320678,0.936061117,-0.052740438,1,0.15
353,MTurk1,23,Male,PE,1a,0,0.1,1,0.9,10.445,11.437,1,1,0.85,0.85,1,1,1,1,1.058615797,1.094715634,-0.036099837,0,0
354,MTurk1,22,Male,PE,1a,0,0.1,1,0.9,12.179,132.294,0.9,0.1,0.7,0.4,1,0,1,0,1.119882458,2.124810601,-1.004928143,0.8,0.3
355,MTurk1,27,Male,PE,2b,0,0.1,1,0.9,39.12,38.919,0.7,1,0.7,0.7,NA,NA,1,0,1.603360924,1.601179653,0.002181271,-0.3,0
356,MTurk1,19,Male,PE,1a,0,0.1,1,0.9,13.139,8.067,1,0.5,1,0.3,NA,NA,0,0,1.150418694,0.957463616,0.192955079,0.5,0.7
357,MTurk1,24,Female,PE,1a,1,0.05,1,0.9,7.955,22.686,0.9,0.8,0.85,0.9,NA,0,1,0,0.95206559,1.374491725,-0.422426135,0.1,-0.05
358,MTurk1,21,Female,BM,2a,1,0.45,1,0.1,27.209,13.858,1,1,0.25,0.75,1,0,1,0,1.450387691,1.171960354,0.278427337,0,-0.5
359,MTurk1,25,Male,PE,1a,1,0.05,1,0.9,7.404,11.305,1,1,0.8,1,1,0,1,0,0.924486044,1.090081618,-0.165595574,0,-0.2
360,MTurk1,24,Male,BM,1b,0,0.9,1,0.1,14.041,8.475,0.1,1,0.5,1,1,0,1,0,1.177276711,0.976579219,0.200697493,-0.9,-0.5
361,MTurk1,23,Male,PE,1a,0,0.1,1,0.9,16.08,7.306,1,1,1,1,0,0,1,1,1.232487866,0.919391927,0.31309594,0,0
362,MTurk1,27,Male,BM,2a,0,0.9,1,0.1,13.588,6.795,1,1,0.6,0.6,NA,0,1,1,1.163995755,0.89181612,0.272179635,0,0
363,MTurk1,20,Female,PE,2b,0,0.1,1,0.9,6.853,13.878,1,1,0.99,0.3,0,0,0,0,0.895035597,1.172544554,-0.277508957,0,0.69
364,MTurk1,25,Male,BM,1b,0,0.9,1,0.1,15.074,14.093,1,1,0.98,0.95,1,0,1,0,1.206123964,1.178775572,0.027348392,0,0.03
365,MTurk1,36,Female,PE,1a,0,0.1,1,0.9,9.333,8.191,1,1,0.85,1,1,0,1,0,1.014226429,0.963362766,0.050863663,0,-0.15
366,MTurk1,21,Female,PE,2b,1,0.05,1,0.9,10.346,9.981,1,1,0.6,0.75,1,0,1,0,1.054842779,1.040641892,0.014200888,0,-0.15
367,MTurk1,39,Male,BM,1b,0,0.85,0,0.05,9.183,8.319,1,1,0.3,0.3,1,1,1,1,1.007875744,0.969369312,0.038506432,0,0
368,MTurk1,22,Male,PE,1a,0,0.1,1,0.9,15.609,9.387,1,1,0.9,0.9,1,0,1,0,1.220343485,1.016490132,0.203853353,0,0
369,MTurk1,21,Female,PE,2b,0,0.1,1,0.9,32.452,14.228,0.4,1,0.55,0.7,1,0,1,0,1.524422088,1.182642868,0.34177922,-0.6,-0.15
370,MTurk1,22,Female,PE,2b,1,0.05,1,0.9,31.66,21.823,1,1,0.35,0.6,1,0,1,0,1.51401618,1.35837273,0.15564345,0,-0.25
371,MTurk1,26,Male,BM,2a,0,0.9,1,0.1,14.818,12.093,1,1,0.9,0.9,0,NA,1,0,1.199151571,1.117039168,0.082112403,0,0
372,MTurk1,19,Female,PE,1a,0,0.1,1,0.9,3.778,2.312,0.2,0.2,0.4,0.4,1,1,1,1,0.679246145,0.520090328,0.159155817,0,0
373,MTurk1,24,Male,PE,2b,0,0.1,1,0.9,5.055,8.091,1,1,0.9,0.9,0,0,0,0,0.782114147,0.958611658,-0.17649751,0,0
374,MTurk1,25,Female,PE,1a,1,0.05,1,0.9,57.688,7.685,0.15,1,0.2,0.5,1,0,1,0,1.76854931,0.938769823,0.829779487,-0.85,-0.3
375,MTurk1,26,Male,BM,2a,0,0.9,1,0.1,9.049,7.792,1,1,0.9,0.9,0,0,0,0,1.002122846,0.944087679,0.058035167,0,0
376,MTurk1,21,Female,BM,2a,0,0.9,1,0.1,3.598,3.515,1,1,0.95,0.95,0,0,1,1,0.662568967,0.654657755,0.007911212,0,0
377,MTurk1,20,Male,BM,1b,0,0.9,1,0.1,8.541,8.908,1,1,0.99,0.99,0,0,1,0,0.979593896,0.995985998,-0.016392102,0,0
378,MTurk1,20,Male,PE,1a,1,0.05,1,0.9,7.551,8.592,0.9,1,0.8,1,1,0,0,0,0.932016906,0.98190917,-0.049892264,-0.1,-0.2
379,MTurk1,21,Female,PE,2b,1,0.05,1,0.9,5.735,8.656,0.8,0.9,0.5,0.75,1,0,1,0,0.8283376,0.984797257,-0.156459657,-0.1,-0.25
380,MTurk1,22,Male,PE,1a,0,0.1,1,0.9,5.83,5.92,1,1,1,1,0,0,0,0,0.834420704,0.840106094,-0.005685391,0,0
381,MTurk1,26,Male,BM,1b,0,0.9,1,0.1,4.372,5.956,1,1,0.5,0.5,1,1,1,1,0.730136004,0.842359573,-0.112223569,0,0
382,MTurk1,21,Male,PE,2b,0,0.1,1,0.9,2.433,3.802,0.9,0.9,0.5,0.5,NA,NA,1,1,0.535673803,0.681422156,-0.145748352,0,0
