Subject,Group,Age,Gender,StandardProblem,CBType,StandardAcc,StandardResp,ControlAcc,ControlResp,StandardRT,ControlRT,StandardConfidence,ControlConfidence,StandardOpinion,ControlOpinion,StandardRecall,ControlRecall,StandardMC,ControlMC,LogStandardRT,LogControlRT,LogRTdiff,Confdiff,Opindiff
218,MTURK,36,Female,BM,2a,0,0.9,0,0.05,20.858,184.498,1,1,0.85,0.5,0,1,0,1,1.339610422,2.268339232,-0.92872881,0,0.35
219,MTURK,39,Male,PE,2b,1,0.05,1,0.9,186.306,21.692,1,1,0.6,0.9,1,0,1,0,2.272551689,1.355872775,0.916678915,0,-0.3
220,MTURK,30,Male,BM,1b,1,0.45,1,0.1,64.56,7.619,0.5,1,0.5,0.75,1,NA,1,1,1.816638945,0.935456881,0.881182064,-0.5,-0.25
221,MTURK,41,Male,PE,1a,1,0.05,1,0.9,50.313,27.553,1,1,0.6,0.6,1,1,1,1,1.710227406,1.455651745,0.254575661,0,0
222,MTURK,36,Male,BM,2a,0,0.9,1,0.1,59.752,37.071,1,1,0.75,0.72,1,0,1,0,1.78356058,1.580594284,0.202966295,0,0.03
223,MTURK,34,Female,BM,1b,0,0.9,1,0.1,19.878,19.805,0.9,1,0.9,0.9,1,0,1,0,1.319688893,1.31816772,0.001521173,-0.1,0
224,MTURK,26,Female,BM,2a,0,0.9,1,0.1,90.31,153.815,1,0.5,0.6,0.75,1,0,1,0,1.960518343,2.189813037,-0.229294694,0.5,-0.15
225,MTURK,36,Female,PE,1a,0,0.1,1,0.9,46.852,14.995,1,1,0.8,0.99,NA,NA,1,0,1.679900094,1.203984244,0.47591585,0,-0.19
226,MTURK,51,Male,PE,1a,1,0.05,1,0.9,18.385,9.207,1,1,0.8,0.8,1,NA,1,0,1.287465805,1.008898115,0.278567691,0,0
227,MTURK,29,Male,PE,2b,1,0.05,1,0.9,7.718,26.237,1,1,0.5,0.9,1,0,1,0,0.940416865,1.435159271,-0.494742406,0,-0.4
228,MTURK,29,Male,PE,2b,0,0.1,1,0.9,15.002,11.019,1,1,1,1,NA,NA,1,0,1.204174266,1.079868335,0.124305931,0,0
229,MTURK,19,Male,PE,1a,0,0.1,1,0.9,34.071,33.125,1,1,1,1,NA,NA,0,0,1.544948149,1.53307266,0.011875489,0,0
230,MTURK,29,Female,BM,2a,1,0.45,1,0.1,24.368,8.161,1,1,0.7,0.95,1,0,1,0,1.404286229,0.961942883,0.442343346,0,-0.25
231,MTURK,24,Male,PE,1a,0,0.1,1,0.9,23.224,12.845,0.8,1,0.9,0.8,NA,NA,1,0,1.384245858,1.14129296,0.242952898,-0.2,0.1
232,MTURK,32,Female,BM,1b,1,0.45,1,0.1,84.775,19.93,1,1,1,1,1,0,1,0,1.933360727,1.320769228,0.612591498,0,0
233,MTURK,28,Male,BM,1b,1,0.45,0,0.05,15.98,59.205,1,1,0.8,0.85,1,1,1,1,1.229937686,1.779632561,-0.549694875,0,-0.05
234,MTURK,30,Female,BM,1b,0,0.9,1,0.1,19.704,16.485,1,1,0.9,0.99,NA,0,1,1,1.316054259,1.242665637,0.073388622,0,-0.09
235,MTURK,37,Male,PE,2b,0,0.1,1,0.9,10.003,8.186,1,1,1,1,NA,NA,1,0,1.041511113,0.963126441,0.078384672,0,0
236,MTURK,23,Male,PE,1a,1,0.05,1,0.9,10.102,10.403,1,1,0.9,0.95,1,0,1,0,1.045401223,1.057019124,-0.011617901,0,-0.05
237,MTURK,32,Female,PE,2b,1,0.05,1,0.9,90.899,25.228,0.85,1,0.5,0.95,NA,NA,1,0,1.963310786,1.418765175,0.544545611,-0.15,-0.45
238,MTURK,42,Male,BM,2a,0,0.5,0,0.05,44.258,38.209,0.5,0.75,0.65,0.8,NA,1,1,1,1.655695358,1.593385766,0.062309592,-0.25,-0.15
239,MTURK,41,Male,BM,2a,1,0.45,1,0.1,91.361,38.696,1,1,0.8,0.8,1,0,1,0,1.965488626,1.598746747,0.366741879,0,0
240,MTURK,30,Male,PE,1a,0,0.1,1,0.9,29.087,17.389,1,1,0.7,1,NA,NA,1,1,1.478378886,1.264558113,0.213820773,0,-0.3
241,MTURK,34,Female,BM,1b,0,0.02,0,1,3.483,312.002,0.8,0.9,0.75,0.75,NA,NA,1,0,0.651568739,2.495547113,-1.843978374,-0.1,0
242,MTURK,32,Female,BM,1b,1,0.45,1,0.1,121.751,9.595,1,1,0.75,0.99,1,0,1,1,2.089025039,1.025100961,1.063924078,0,-0.24
243,MTURK,39,Male,PE,1a,1,0.05,1,0.9,10.29,12.484,0.99,1,0.75,0.99,1,0,1,0,1.052693942,1.129818744,-0.077124802,-0.01,-0.24
244,MTURK,31,Male,BM,1b,1,0.45,1,0.1,17.103,6.115,1,1,0.8,0.9,1,0,1,0,1.257750551,0.852174904,0.405575647,0,-0.1
245,MTURK,30,Male,BM,2a,0,0.25,1,0.1,35.397,30.336,1,1,0.7,0.95,1,1,1,1,1.561065589,1.496043559,0.06502203,0,-0.25
246,MTURK,30,Male,BM,2a,1,0.45,0,0.05,18.985,3.968,1,1,0.85,0.9,1,1,1,1,1.300704153,0.696181587,0.604522565,0,-0.05
247,MTURK,54,Female,PE,1a,1,0.05,1,0.9,14.986,31.174,1,1,0.85,0.95,1,0,1,0,1.203739809,1.507505057,-0.303765249,0,-0.1
248,MTURK,65,Male,BM,2a,0,0.9,1,0.1,93.154,39.437,1,1,0.3,0.95,NA,NA,1,1,1.973838775,1.606778928,0.367059847,0,-0.65
249,MTURK,24,Male,BM,1b,1,0.45,1,0.1,524.236,12.567,1,1,0.5,1,1,0,1,0,2.720354485,1.132483825,1.58787066,0,-0.5
250,MTURK,24,Male,PE,2b,1,0.05,1,0.9,136.917,69.419,1,1,0.25,0.5,NA,NA,1,0,2.139617802,1.847689853,0.291927948,0,-0.25
251,MTURK,32,Male,BM,2a,0,0.9,1,0.1,7.13,5.352,1,1,0.9,1,1,1,1,1,0.910090546,0.802910489,0.107180056,0,-0.1
252,MTURK,30,Male,PE,1a,0,0.1,1,0.9,56.469,14.583,1,1,0.5,0.8,NA,NA,0,0,1.75943364,1.192651071,0.56678257,0,-0.3
253,MTURK,28,Male,PE,1a,0,0.1,1,0.9,50.615,34.499,1,1,1,1,NA,NA,1,1,1.712775932,1.550216119,0.162559812,0,0
254,MTURK,40,Male,PE,2b,1,0.05,1,0.9,16.455,13.636,1,1,0.6,1,1,0,1,0,1.241919853,1.165422401,0.076497452,0,-0.4
255,MTURK,47,Female,BM,1b,0,0.9,1,0.1,33.206,11.099,1,1,0.8,0.85,1,0,1,0,1.534102291,1.082749477,0.451352815,0,-0.05
256,MTURK,35,Male,PE,1a,1,0.05,1,0.9,45.592,98.814,1,1,0.6,1,1,0,1,0,1.668311353,1.99919146,-0.330880107,0,-0.4
257,MTurk1,18,Male,PE,2b,1,0.05,1,0.9,14.945,21.419,0.98,0.95,0.92,0.71,1,0,1,0,1.202624524,1.350616237,-0.147991713,0.03,0.21
258,MTurk1,19,Female,PE,2b,0,0.1,1,0.9,15.59,9.92,1,1,1,1,1,0,1,0,1.219846386,1.038222638,0.181623748,0,0
259,MTurk1,19,Male,BM,2a,0,0.9,1,0.1,8.623,4.352,0.94,0.95,0.9,0.95,NA,NA,0,1,0.983310486,0.728516105,0.254794381,-0.01,-0.05
260,MTurk1,18,Male,BM,1b,1,0.45,1,0.1,11.982,12.73,1,1,0.6,0.95,1,0,1,0,1.113341605,1.137670537,-0.024328932,0,-0.35
261,MTurk1,20,Female,PE,1a,1,0.05,1,0.9,15.83,17.269,1,1,0.9,1,1,0,1,0,1.226084116,1.261714776,-0.03563066,0,-0.1
262,MTurk1,19,Female,PE,2b,1,0.05,1,0.9,9.818,11.941,1,1,0.6,0.75,1,0,1,0,1.034146977,1.111967837,-0.07782086,0,-0.15
263,MTurk1,19,Male,PE,1a,1,0.05,1,0.9,31.961,23.822,1,1,0.6,1,1,0,1,0,1.518000379,1.394836771,0.123163608,0,-0.4
264,MTurk1,20,Male,BM,2a,0,0.9,1,0.1,13.168,6.697,1,1,0.8,0.97,1,0,1,0,1.151308548,0.886321487,0.264987062,0,-0.17
265,MTurk1,19,Female,PE,2b,1,0.05,1,0.9,12.677,17.269,1,1,0.93,0.88,1,0,1,0,1.135990847,1.261714776,-0.125723929,0,0.05
266,MTurk1,18,Male,PE,1a,0,0.1,1,0.9,102.7,20.566,0.9,0.9,0.9,0.9,0,0,0,0,2.015778756,1.333769601,0.682009156,0,0
267,MTurk1,19,Male,BM,1b,0,0.9,1,0.1,242.62,19.525,1,1,0.78,1,1,0,1,0,2.386712939,1.312283166,1.074429773,0,-0.22
268,MTurk1,19,Male,BM,1b,1,0.45,1,0.1,31.667,11.41,0.99,0.99,0.5,0.7,NA,NA,1,0,1.514109253,1.093771781,0.420337471,0,-0.2
269,MTurk1,19,Male,BM,1b,1,0.45,1,0.1,101.713,22.637,0.5,1,0.2,0.9,1,1,1,1,2.011625414,1.373592355,0.638033059,-0.5,-0.7
270,MTurk1,19,Female,BM,2a,0,0.9,1,0.1,76.946,8.928,1,0.99,0.75,0.82,1,0,1,0,1.891793833,0.996861768,0.894932065,0.01,-0.07
